ds,y,hour,weekday,is_weekend,weekofyear,month,year,is_winter
2018-06-25 15:00:00,47,15,0,0,26,6,2018,0
2018-06-25 18:00:00,55,18,0,0,26,6,2018,0
2018-06-25 21:00:00,10,21,0,0,26,6,2018,0
2018-06-26 03:00:00,27,3,1,0,26,6,2018,0
2018-06-26 06:00:00,69,6,1,0,26,6,2018,0
2018-06-26 09:00:00,36,9,1,0,26,6,2018,0
2018-06-26 12:00:00,85,12,1,0,26,6,2018,0
2018-06-26 15:00:00,85,15,1,0,26,6,2018,0
2018-06-26 18:00:00,43,18,1,0,26,6,2018,0
2018-06-26 21:00:00,10,21,1,0,26,6,2018,0
2018-06-27 03:00:00,29,3,2,0,26,6,2018,0
2018-06-27 06:00:00,45,6,2,0,26,6,2018,0
2018-06-27 09:00:00,52,9,2,0,26,6,2018,0
2018-06-27 12:00:00,75,12,2,0,26,6,2018,0
2018-06-27 15:00:00,71,15,2,0,26,6,2018,0
2018-06-27 18:00:00,69,18,2,0,26,6,2018,0
2018-06-27 21:00:00,5,21,2,0,26,6,2018,0
2018-06-28 03:00:00,30,3,3,0,26,6,2018,0
2018-06-28 06:00:00,47,6,3,0,26,6,2018,0
2018-06-28 09:00:00,17,9,3,0,26,6,2018,0
2018-06-28 12:00:00,68,12,3,0,26,6,2018,0
2018-06-28 15:00:00,63,15,3,0,26,6,2018,0
2018-06-28 18:00:00,28,18,3,0,26,6,2018,0
2018-06-28 21:00:00,7,21,3,0,26,6,2018,0
2018-06-29 03:00:00,33,3,4,0,26,6,2018,0
2018-06-29 06:00:00,35,6,4,0,26,6,2018,0
2018-06-29 09:00:00,27,9,4,0,26,6,2018,0
2018-06-29 12:00:00,47,12,4,0,26,6,2018,0
2018-06-29 15:00:00,52,15,4,0,26,6,2018,0
2018-06-29 18:00:00,32,18,4,0,26,6,2018,0
2018-06-29 21:00:00,4,21,4,0,26,6,2018,0
2018-06-30 03:00:00,1,3,5,1,26,6,2018,0
2018-06-30 06:00:00,13,6,5,1,26,6,2018,0
2018-06-30 09:00:00,65,9,5,1,26,6,2018,0
2018-06-30 12:00:00,52,12,5,1,26,6,2018,0
2018-06-30 15:00:00,65,15,5,1,26,6,2018,0
2018-06-30 18:00:00,60,18,5,1,26,6,2018,0
2018-06-30 21:00:00,10,21,5,1,26,6,2018,0
2018-07-01 03:00:00,2,3,6,1,26,7,2018,0
2018-07-01 06:00:00,16,6,6,1,26,7,2018,0
2018-07-01 09:00:00,42,9,6,1,26,7,2018,0
2018-07-01 12:00:00,86,12,6,1,26,7,2018,0
2018-07-01 15:00:00,89,15,6,1,26,7,2018,0
2018-07-01 18:00:00,42,18,6,1,26,7,2018,0
2018-07-01 21:00:00,10,21,6,1,26,7,2018,0
2018-07-02 03:00:00,29,3,0,0,27,7,2018,0
2018-07-02 06:00:00,46,6,0,0,27,7,2018,0
2018-07-02 09:00:00,68,9,0,0,27,7,2018,0
2018-07-02 12:00:00,133,12,0,0,27,7,2018,0
2018-07-02 15:00:00,108,15,0,0,27,7,2018,0
2018-07-02 18:00:00,49,18,0,0,27,7,2018,0
2018-07-02 21:00:00,5,21,0,0,27,7,2018,0
2018-07-03 03:00:00,27,3,1,0,27,7,2018,0
2018-07-03 06:00:00,57,6,1,0,27,7,2018,0
